stamp,phi,theta,psi,p,q,r,p_dot,q_dot,r_dot,Tix,Tiy,Tiz,Gx,Gy,Gz,cmdTroll,cmdTpitch,cmdTyaw,rawIroll,rawIpitch,rawIyaw
1745869671.740184,-1.488369,0.030175,-0.094737,-5.314486,0.205296,-0.152128,0.000000,0.000000,0.000000,0.133576,0.680774,-2.113198,0.107846,-2.049972,-0.852839,0.010785,0.000000,0.000000,2058,2057,2057
1745869671.745196,-1.488369,0.030175,-0.094737,-5.314486,0.205296,-0.152128,0.000000,0.000000,0.000000,0.133576,0.680774,-2.113198,0.107846,-2.049972,-0.852839,0.010785,0.000000,0.000000,2058,2057,2057
1745869671.750192,-1.584664,0.027741,-0.098758,-5.431933,0.196063,-0.137948,-2.875137,-0.226024,0.347137,-8.588290,0.393486,-1.136647,-8.598770,-1.141994,-0.377832,-0.859877,0.000000,0.000000,1901,2057,2057
1745869671.755195,-1.584664,0.027741,-0.098758,-5.431933,0.196063,-0.137948,-4.344651,-0.341547,0.524563,-13.038851,0.095944,-0.769074,-13.041217,-0.770330,-0.085303,-1.304122,0.000000,0.000000,1837,2057,2057
1745869671.760191,-1.633056,0.026368,-0.100808,-5.440178,0.242904,-0.134933,-4.942455,0.774200,0.646173,-14.823214,3.194987,-0.848935,-14.905922,-1.046081,-3.137066,-1.490592,0.000000,0.000000,1810,2057,2057
1745869671.765194,-1.682272,0.025133,-0.102655,-5.356236,0.201895,-0.138105,-2.658155,0.380852,0.566308,-7.938696,2.296802,-0.515959,-7.994632,-0.768264,-2.225851,-0.799463,0.000000,0.000000,1909,2057,2057
1745869671.770232,-1.682272,0.025133,-0.102655,-5.356236,0.201895,-0.138105,-0.874969,0.083287,0.445504,-2.541334,1.522602,-0.804149,-2.577123,-0.968540,-1.424143,-0.257712,0.000000,0.000000,1987,2057,2057
1745869671.775213,-1.682272,0.025133,-0.102655,-5.356236,0.201895,-0.138105,0.344258,-0.112457,0.315417,1.150545,1.010786,-1.085950,1.128330,-1.191654,-0.883985,0.112833,0.000000,0.000000,2073,2057,2057
1745869671.780191,-1.731332,0.023732,-0.104737,-5.551474,0.261030,-0.110800,-3.688746,1.219982,0.860893,-11.038354,4.669662,-0.425151,-11.146157,-1.166115,-4.542939,-1.114616,0.000000,0.000000,1864,2057,2057
1745869671.785201,-1.731332,0.023732,-0.104737,-5.551474,0.261030,-0.110800,-5.808392,1.920123,1.103345,-17.457371,6.485846,0.125429,-17.609819,-0.912925,-6.424309,-1.760982,0.000000,0.000000,1772,2057,2057
1745869671.790194,-1.779982,0.022167,-0.106256,-5.348283,0.201738,-0.159750,-1.460766,0.675298,-0.076731,-4.296661,3.385231,-1.300988,-4.364087,-1.975614,-3.042014,-0.436409,0.000000,0.000000,1961,2057,2057
1745869671.795194,-1.828303,0.020689,-0.107852,-5.303684,0.181528,-0.103518,2.566313,-0.691521,0.562565,7.832555,-0.342125,-0.242135,7.840677,-0.147022,0.392593,0.784068,0.000000,0.000000,2168,2057,2057
1745869671.800197,-1.828303,0.020689,-0.107852,-5.303684,0.181528,-0.103518,4.799775,-1.471577,0.898105,14.580416,-2.284827,0.228741,14.624930,0.803076,2.151698,1.462493,0.000000,0.000000,2264,2057,2057
1745869671.805197,-1.828303,0.020689,-0.107852,-5.303684,0.181528,-0.103518,5.623067,-1.784218,1.000096,17.068382,-3.066974,0.359717,17.127856,1.128924,2.874856,1.712786,0.000000,0.000000,2299,2057,2057
1745869671.810195,-1.875907,0.019050,-0.109559,-5.214467,0.226495,-0.121872,7.640282,-0.662041,0.492571,23.217989,0.111525,-0.607616,23.219440,-0.613054,0.076166,2.321944,0.000000,0.000000,2385,2057,2057
1745869671.815193,-1.922653,0.017426,-0.110910,-5.156253,0.221058,-0.124853,9.406542,-0.004386,0.038279,28.564146,1.749877,-1.153778,28.542449,-1.686171,-1.245219,2.854245,0.000000,0.000000,2461,2057,2057
1745869671.820199,-1.922653,0.017426,-0.110910,-5.156253,0.221058,-0.124853,9.372437,0.412863,-0.254267,28.466868,2.746760,-1.641593,28.431792,-2.487667,-2.013023,2.843179,0.000000,0.000000,2459,2057,2057
