stamp,phi,theta,psi,p,q,r,p_dot,q_dot,r_dot,Tix,Tiy,Tiz,Gx,Gy,Gz,cmdTroll,cmdTpitch,cmdTyaw,rawIroll,rawIpitch,rawIyaw
1745872631.293752,-3.073564,0.011210,0.287480,-0.000648,0.001194,-0.001876,0.000000,0.000000,0.000000,-0.000007,-0.000002,0.000001,-0.000007,0.000002,-0.000001,-0.000001,0.000000,0.000000,2024,2057,2057
1745872631.298768,-3.073564,0.011210,0.287480,-0.000648,0.001194,-0.001876,0.000000,0.000000,0.000000,-0.000007,-0.000002,0.000001,-0.000007,0.000002,-0.000001,-0.000001,0.000000,0.000000,2024,2057,2057
1745872631.303740,-3.073631,0.011297,0.287525,-0.003430,-0.000720,0.000549,-0.067770,-0.046611,0.059087,-0.205746,-0.081355,0.152060,-0.207398,0.091494,-0.146194,-0.020740,0.000000,0.000000,2021,2057,2057
1745872631.308741,-3.073682,0.011369,0.287599,-0.004124,-0.006863,0.003891,-0.119733,-0.221210,0.171464,-0.364406,-0.389550,0.437591,-0.369069,0.418346,-0.410175,-0.036907,0.000000,0.000000,2018,2057,2057
1745872631.313737,-3.073682,0.011369,0.287599,-0.004124,-0.006863,0.003891,-0.137899,-0.304419,0.221459,-0.419975,-0.536549,0.564396,-0.425964,0.573612,-0.526720,-0.042596,0.000000,0.000000,2018,2057,2057
1745872631.318743,-3.073779,0.011578,0.287741,-0.000038,-0.009253,0.000079,-0.032305,-0.378499,0.132521,-0.099352,-0.671658,0.330980,-0.102649,0.692542,-0.284725,-0.010265,0.000000,0.000000,2022,2057,2057
1745872631.323797,-3.073779,0.011578,0.287741,-0.000038,-0.009253,0.000079,0.039104,-0.378869,0.059320,0.117608,-0.674625,0.140897,0.116510,0.682622,-0.094865,0.011651,0.000000,0.000000,2058,2057,2057
1745872631.328789,-3.073779,0.011578,0.287741,-0.000038,-0.009253,0.000079,0.078700,-0.332256,0.006441,0.238062,-0.593063,0.005207,0.238467,0.592053,0.034994,0.023847,0.000000,0.000000,2060,2057,2057
1745872631.333753,-3.073668,0.011770,0.287872,0.037313,-0.028340,-0.009841,1.002491,-0.726793,-0.268876,3.037283,-1.305457,-0.729460,3.046892,1.252937,0.816439,0.304689,0.000000,0.000000,2100,2057,2057
1745872631.338745,-3.075441,0.011867,0.288567,-0.453210,0.105114,-0.113644,-10.528223,2.374066,-2.950916,-31.847339,4.069158,-7.345972,-31.763546,-4.545853,7.061416,-3.176355,0.000000,0.000000,1569,2057,2057
1745872631.343741,-3.084852,0.012304,0.290086,-1.118425,-0.116082,-0.234882,-32.833883,-1.367478,-7.257847,-99.154048,-3.108774,-18.465124,-98.925035,2.056610,18.613116,-9.892504,0.000000,0.000000,608,2057,2057
1745872631.348742,-3.100818,0.012808,0.292998,-2.101842,0.006849,-0.320702,-67.035018,-0.556726,-11.199146,-202.651411,-2.380457,-27.923593,-202.292804,1.240216,27.999716,-20.229280,0.000000,0.000000,0,2057,2057
1745872631.353748,-3.100818,0.012808,0.292998,-2.101842,0.006849,-0.320702,-80.463400,0.024805,-12.320484,-243.258567,-1.363882,-30.623398,-242.865939,0.114433,30.656055,-24.286594,0.000000,0.000000,0,2057,2057
1745872631.358773,-3.100818,0.012808,0.292998,-2.101842,0.006849,-0.320702,-79.069101,0.390800,-11.513744,-239.052004,-0.695846,-28.549398,-238.686268,-0.468504,28.556376,-23.868627,0.000000,0.000000,0,2057,2057
1745872631.363748,-3.130399,0.012975,0.294890,-3.582030,-0.055833,-0.195490,-104.600297,-0.956561,-6.546011,-316.306261,-2.974580,-15.674939,-316.102442,2.798944,15.708573,-31.610244,0.000000,0.000000,0,2057,2057
1745872631.368745,3.115791,0.011999,0.296214,-4.327853,0.175713,-0.090812,-126.364915,3.971862,-0.024260,-382.325071,6.328510,2.467543,-382.352711,-6.390064,-2.303618,-38.235271,0.000000,0.000000,0,2057,2057
