stamp,phi,theta,psi,p,q,r,p_dot,q_dot,r_dot,Tix,Tiy,Tiz,Gx,Gy,Gz,cmdTroll,cmdTpitch,cmdTyaw,rawIroll,rawIpitch,rawIyaw
1745872832.338786,-2.788999,0.033018,0.341505,0.000416,0.002675,0.002402,0.000000,0.000000,0.000000,0.000017,-0.000002,-0.000000,0.000017,0.000002,0.000001,0.000017,0.000002,0.000001,2057,2057,2057
1745872832.343806,-2.788999,0.033018,0.341505,0.000416,0.002675,0.002402,0.000000,0.000000,0.000000,0.000017,-0.000002,-0.000000,0.000017,0.000002,0.000001,0.000017,0.000002,0.000001,2057,2057,2057
1745872832.348799,-2.788970,0.033022,0.341544,0.003881,0.000926,0.000111,0.084774,-0.042793,-0.056029,0.258518,-0.088779,-0.149137,0.264154,0.031811,0.170714,0.264154,0.031811,0.170714,2094,2061,2081
1745872832.353806,-2.788970,0.033022,0.341544,0.003881,0.000926,0.000111,0.128205,-0.064717,-0.084733,0.390961,-0.134260,-0.225541,0.399485,0.048106,0.258172,0.399485,0.048106,0.258172,2113,2064,2093
1745872832.358800,-2.788997,0.032998,0.341553,-0.003896,0.003620,-0.003530,-0.050462,-0.004679,-0.181551,-0.145926,-0.035477,-0.451448,-0.131536,-0.122606,0.436163,-0.131536,-0.122606,0.436163,2005,2006,2119
1745872832.363795,-2.788997,0.032998,0.341553,-0.003896,0.003620,-0.003530,-0.157349,0.033883,-0.220623,-0.467799,0.031365,-0.539231,-0.451451,-0.215651,0.495496,-0.451451,-0.215651,0.495496,1959,1993,2127
1745872832.368850,-2.788997,0.032998,0.341553,-0.003896,0.003620,-0.003530,-0.206334,0.054386,-0.218352,-0.616056,0.070289,-0.528739,-0.600478,-0.248557,0.472195,-0.600478,-0.248557,0.472195,1938,1988,2124
1745872832.373839,-2.788997,0.032998,0.341553,-0.003896,0.003620,-0.003530,-0.211291,0.060412,-0.189957,-0.632106,0.085802,-0.456872,-0.618930,-0.238298,0.399352,-0.618930,-0.238298,0.399352,1935,1990,2113
1745872832.378818,-2.788992,0.032978,0.341574,0.001016,-0.001552,-0.007088,-0.068860,-0.069299,-0.235697,-0.199435,-0.164736,-0.595335,-0.179126,-0.050992,0.615934,-0.179126,-0.050992,0.615934,1998,2016,2144
1745872832.383813,-2.788990,0.032955,0.341556,0.000768,0.004294,-0.001043,0.023989,-0.000215,-0.088086,0.075799,-0.013447,-0.220536,0.082775,-0.063540,0.211727,0.082775,-0.063540,0.211727,2068,2015,2087
1745872832.388820,-2.789148,0.032948,0.341616,-0.044650,0.010611,-0.011653,-1.034489,0.198635,-0.244026,-3.120121,0.338646,-0.540073,-3.107268,-0.504259,0.390190,-3.107268,-0.504259,0.390190,1579,1951,2112
1745872832.393813,-2.789148,0.032948,0.341616,-0.044650,0.010611,-0.011653,-1.574859,0.299626,-0.312412,-4.751943,0.519202,-0.675783,-4.736945,-0.720563,0.455266,-4.736945,-0.720563,0.455266,1346,1921,2121
1745872832.398809,-2.789148,0.032948,0.341616,-0.044650,0.010611,-0.011653,-1.724569,0.326958,-0.317533,-5.204550,0.570049,-0.679008,-5.190031,-0.769398,0.440733,-5.190031,-0.769398,0.440733,1281,1914,2119
1745872832.403806,-2.789148,0.032948,0.341616,-0.044650,0.010611,-0.011653,-1.608345,0.304258,-0.281931,-4.854341,0.532458,-0.597868,-4.841905,-0.706109,0.377523,-4.841905,-0.706109,0.377523,1331,1923,2110
1745872832.408803,-2.795490,0.032123,0.342826,-1.070893,0.249620,-0.164314,-26.466545,6.105013,-3.962953,-79.970281,10.919477,-7.641202,-79.858333,-12.864131,3.485630,-79.858333,-12.864131,3.485630,0,183,2550
1745872832.413805,-2.807120,0.031861,0.345184,-1.267427,-0.171205,-0.340634,-43.780868,-1.282525,-10.129198,-131.975579,-4.581486,-23.723011,-131.213438,-3.459977,23.924478,-131.213438,-3.459977,23.924478,0,1529,4095
1745872832.418805,-2.830276,0.027862,0.346924,-3.035833,0.452131,-0.273364,-92.696139,9.476657,-11.138911,-280.215274,16.220597,-21.784333,-279.775818,-22.113706,15.774729,-279.775818,-22.113706,15.774729,0,0,4095
