stamp,phi,theta,psi,p,q,r,p_dot,q_dot,r_dot,Tix,Tiy,Tiz,Gx,Gy,Gz,cmdTroll,cmdTpitch,cmdTyaw,rawIroll,rawIpitch,rawIyaw
1745873025.102480,-2.858617,-0.013851,-1.986387,0.005249,-0.000886,-0.005074,0.182529,0.092803,-0.193842,0.549240,0.147629,-0.475406,0.543487,-0.274498,0.415318,0.543487,-0.274498,0.415318,2134,1984,2116
1745873025.107483,-2.858632,-0.013881,-1.986361,0.003093,0.002480,-0.007652,0.222956,0.222731,-0.356074,0.669029,0.367447,-0.868619,0.658875,-0.595353,0.731556,0.658875,-0.595353,0.731556,2150,1938,2160
1745873025.112486,-2.858632,-0.013881,-1.986361,0.003093,0.002480,-0.007652,0.221180,0.277589,-0.415009,0.662780,0.461422,-1.010780,0.651095,-0.725282,0.841836,0.651095,-0.725282,0.841836,2149,1920,2176
1745873025.117483,-2.858661,-0.013865,-1.986368,0.000217,0.004062,-0.007906,0.122546,0.316953,-0.407624,0.364519,0.534837,-0.988823,0.353423,-0.789624,0.800274,0.353423,-0.789624,0.800274,2107,1911,2170
1745873025.122518,-2.858661,-0.013865,-1.986368,0.000217,0.004062,-0.007906,0.044570,0.302975,-0.352670,0.129468,0.515723,-0.852948,0.120107,-0.733338,0.675125,0.120107,-0.733338,0.675125,2074,1919,2152
1745873025.127495,-2.858661,-0.013865,-1.986368,0.000217,0.004062,-0.007906,-0.009530,0.257059,-0.275100,-0.033024,0.440485,-0.663492,-0.040153,-0.608201,0.514191,-0.040153,-0.608201,0.514191,2018,1937,2130
1745873025.132488,-2.858659,-0.013865,-1.986353,-0.001569,-0.001577,-0.005541,-0.086457,0.058618,-0.134412,-0.263573,0.091621,-0.333612,-0.267660,-0.181114,0.294798,-0.267660,-0.181114,0.294798,1985,1998,2099
1745873025.137482,-2.858697,-0.013919,-1.986368,-0.006015,0.012923,0.004840,-0.233370,0.280660,0.225087,-0.702043,0.545082,0.599176,-0.691916,-0.356163,-0.727583,-0.691916,-0.356163,-0.727583,1925,1973,1920
1745873025.142487,-2.858697,-0.013919,-1.986368,-0.006015,0.012923,0.004840,-0.297968,0.387119,0.425538,-0.894299,0.765871,1.117412,-0.876388,-0.423517,-1.286904,-0.876388,-0.423517,-1.286904,1898,1963,1839
1745873025.147485,-2.858697,-0.013919,-1.986368,-0.006015,0.012923,0.004840,-0.302219,0.406867,0.499910,-0.906000,0.811374,1.307583,-0.885370,-0.414128,-1.482237,-0.885370,-0.414128,-1.482237,1897,1964,1812
