stamp,phi,theta,psi,p,q,r,p_dot,q_dot,r_dot,Tix,Tiy,Tiz,Gx,Gy,Gz,cmdTroll,cmdTpitch,cmdTyaw,rawIroll,rawIpitch,rawIyaw
1745872640.500273,-0.011717,0.044355,0.378420,0.000136,-0.001025,-0.000390,0.101563,-0.073198,0.021502,0.305987,-0.130529,0.051067,0.308322,-0.129922,0.052645,0.030832,0.000000,0.000000,2061,2057,2057
1745872640.505275,-0.011717,0.044355,0.378420,0.000136,-0.001025,-0.000390,0.153438,-0.110584,0.032485,0.462272,-0.197198,0.077150,0.465799,-0.196281,0.079534,0.046580,0.000000,0.000000,2063,2057,2057
1745872640.510273,-0.011734,0.044341,0.378432,-0.000376,-0.002567,-0.001347,0.154878,-0.158433,0.012010,0.467627,-0.282376,0.024279,0.468851,-0.282072,0.027618,0.046885,0.000000,0.000000,2063,2057,2057
1745872640.515317,-0.011734,0.044341,0.378432,-0.000376,-0.002567,-0.001347,0.136661,-0.169403,-0.002544,0.413264,-0.301861,-0.012473,0.412868,-0.301987,-0.008939,0.041287,0.000000,0.000000,2063,2057,2057
1745872640.520273,-0.011731,0.044352,0.378408,0.000389,0.000641,-0.006177,0.127226,-0.077529,-0.128550,0.390867,-0.137562,-0.338741,0.375906,-0.141527,-0.337436,0.037591,0.000000,0.000000,2062,2057,2057
1745872640.525295,-0.011731,0.044352,0.378408,0.000389,0.000641,-0.006177,0.105643,-0.008989,-0.193912,0.328813,-0.015124,-0.507266,0.306309,-0.021073,-0.507552,0.030631,0.000000,0.000000,2061,2057,2057
1745872640.530271,-0.011735,0.044336,0.378399,0.004762,-0.005844,-0.006177,0.185818,-0.123123,-0.211055,0.572133,-0.218385,-0.555008,0.547625,-0.224883,-0.552950,0.054763,0.000000,0.000000,2065,2057,2057
1745872640.535269,-0.011735,0.044336,0.378399,0.004762,-0.005844,-0.006177,0.214200,-0.180757,-0.196246,0.657207,-0.321157,-0.517778,0.634404,-0.327211,-0.514479,0.063440,0.000000,0.000000,2066,2057,2057
1745872640.540294,-0.011735,0.044336,0.378399,0.004762,-0.005844,-0.006177,0.205892,-0.195175,-0.162673,0.630455,-0.347004,-0.430365,0.611544,-0.352031,-0.426683,0.061154,0.000000,0.000000,2065,2057,2057
1745872640.545277,-0.011754,0.044317,0.378380,-0.003340,-0.005472,0.002236,-0.022378,-0.171182,0.083696,-0.071785,-0.305431,0.218590,-0.061933,-0.302840,0.222384,-0.006193,0.000000,0.000000,2023,2057,2057
1745872640.550289,-0.011754,0.044317,0.378380,-0.003340,-0.005472,0.002236,-0.165063,-0.134951,0.230407,-0.510283,-0.241552,0.605299,-0.483316,-0.234421,0.608694,-0.048332,0.000000,0.000000,2017,2057,2057
1745872640.555273,-0.011740,0.044279,0.378387,-0.000241,-0.004985,-0.003964,-0.158822,-0.083769,0.142989,-0.487053,-0.149957,0.378393,-0.470211,-0.145504,0.380500,-0.047021,0.000000,0.000000,2017,2057,2057
1745872640.560276,-0.011743,0.044277,0.378383,0.002240,-0.001174,-0.004656,-0.074659,0.052414,0.052978,-0.228260,0.093169,0.140588,-0.222080,0.094814,0.139621,-0.022208,0.000000,0.000000,2020,2057,2057
1745872640.565325,-0.011743,0.044277,0.378383,0.002240,-0.001174,-0.004656,-0.011699,0.132850,-0.011031,-0.034799,0.236812,-0.028601,-0.036189,0.236460,-0.031411,-0.003619,0.000000,0.000000,2023,2057,2057
1745872640.570331,-0.011764,0.044286,0.378376,-0.007528,0.004105,-0.000440,-0.210501,0.296148,0.053781,-0.638967,0.527479,0.148198,-0.632675,0.529186,0.142121,-0.063268,0.000000,0.000000,2015,2057,2057
1745872640.575275,-0.011764,0.044286,0.378376,-0.007528,0.004105,-0.000440,-0.309123,0.362209,0.087734,-0.938762,0.645038,0.240619,-0.928436,0.647824,0.233243,-0.092844,0.000000,0.000000,2010,2057,2057
1745872640.580293,-0.011764,0.044286,0.378376,-0.007528,0.004105,-0.000440,-0.335107,0.360752,0.098952,-1.017863,0.642387,0.270940,-1.006192,0.645530,0.263623,-0.100619,0.000000,0.000000,2009,2057,2057
1745872640.585307,-0.011005,0.043815,0.378186,0.150221,-0.092503,-0.027252,3.565499,-2.058205,-0.564903,10.813558,-3.658419,-1.608534,10.744804,-3.675900,-1.569681,1.074480,0.000000,0.000000,2209,2057,2057
1745872640.590279,-0.011005,0.043815,0.378186,0.150221,-0.092503,-0.027252,5.573519,-3.322156,-0.911775,16.900793,-5.909165,-2.598097,16.789743,-5.937400,-2.535342,1.678974,0.000000,0.000000,2294,2057,2057
1745872640.595279,-0.015909,0.043569,0.377678,-1.016487,0.045397,-0.077918,-22.411383,-0.344581,-2.263276,-67.657124,-0.745426,-4.732482,-67.862902,-0.820618,-4.724508,-6.786290,0.000000,0.000000,1053,2057,2057
1745872640.600280,-0.031814,0.042384,0.375910,-1.963618,-0.077473,-0.282010,-60.576320,-1.429744,-7.842046,-182.706196,-3.427650,-17.708176,-183.452188,-3.989194,-17.605997,-18.345219,0.000000,0.000000,0,2057,2057
1745872640.605285,-0.031814,0.042384,0.375910,-1.963618,-0.077473,-0.282010,-77.303253,-1.941240,-10.411307,-233.158049,-4.308771,-23.573166,-234.151458,-5.056429,-23.445236,-23.415146,0.000000,0.000000,0,2057,2057
1745872640.610278,-0.061191,0.042239,0.372512,-3.609899,0.022100,-0.321423,-118.669330,0.410088,-11.721519,-358.237901,-1.070530,-24.957010,-359.287951,-2.594730,-24.867014,-35.928795,0.000000,0.000000,0,2057,2057
1745872640.615281,-0.061191,0.042239,0.372512,-3.609899,0.022100,-0.321423,-130.371128,1.850742,-11.117433,-393.644068,1.479363,-22.889965,-394.613510,0.076797,-22.958068,-39.461351,0.000000,0.000000,0,2057,2057
1745872640.620280,-0.100835,0.043355,0.371602,-4.651313,0.162348,-0.033917,-147.298361,5.969759,-2.330525,-445.227925,10.171230,1.604806,-445.203077,10.281111,0.573317,-44.520308,0.000000,0.000000,0,2057,2057
1745872640.625291,-0.100835,0.043355,0.371602,-4.651313,0.162348,-0.033917,-139.950347,7.848527,3.526584,-423.290962,13.278772,16.289500,-422.645864,14.851087,14.884050,-42.264586,0.000000,0.000000,0,2057,2057
1745872640.630279,-0.100835,0.043355,0.371602,-4.651313,0.162348,-0.033917,-118.186291,8.069239,6.779570,-357.647656,13.545419,23.638409,-356.686529,15.856150,22.175641,-35.668653,0.000000,0.000000,0,2057,2057
1745872640.635282,-0.200238,0.050868,0.372503,-5.716160,0.480004,0.253646,-116.019306,15.009794,15.065352,-351.254664,26.481465,47.724159,-349.141645,35.444801,41.557120,-34.914164,0.000000,0.000000,0,2057,2057
1745872640.640282,-0.248581,0.054457,0.374696,-5.481264,0.308140,0.315689,-94.676374,13.345807,19.974737,-287.049784,23.607354,58.171149,-284.292877,37.193508,50.650107,-28.429288,0.000000,0.000000,0,2057,2057
1745872640.645285,-0.248581,0.054457,0.374696,-5.481264,0.308140,0.315689,-69.559082,10.656429,20.634248,-211.190331,18.669045,58.620999,-208.343427,32.517666,52.303547,-20.834343,0.000000,0.000000,0,2057,2057
1745872640.650283,-0.298227,0.057601,0.375353,-5.463543,0.303126,0.105797,-44.738971,7.529381,13.382278,-136.010145,11.587259,37.770373,-134.124593,22.173715,32.752822,-13.412459,0.000000,0.000000,104,2057,2057
1745872640.655287,-0.298227,0.057601,0.375353,-5.463543,0.303126,0.105797,-23.537241,4.626283,7.149499,-71.555263,7.060851,21.065646,-70.513772,12.938819,18.091123,-7.051377,0.000000,0.000000,1015,2057,2057
1745872640.660282,-0.342927,0.058315,0.373936,-4.746966,0.054570,-0.188751,10.265945,-3.856034,-4.869200,31.344790,-8.062502,-13.007808,30.787869,-11.966867,-9.555692,3.078787,0.000000,0.000000,2493,2057,2057
1745872640.665379,-0.342927,0.058315,0.373936,-4.746966,0.054570,-0.188751,30.814001,-8.852521,-12.022947,93.881010,-16.334195,-31.514049,92.468961,-25.979564,-24.228028,9.246896,0.000000,0.000000,3366,2057,2057
1745872640.670306,-0.383251,0.058869,0.371647,-4.449855,0.228802,-0.196322,46.663315,-6.588427,-15.066919,141.868792,-12.262368,-39.601012,139.974403,-26.181082,-32.198532,13.997440,0.000000,0.000000,4038,2057,2057
1745872640.675285,-0.383251,0.058869,0.371647,-4.449855,0.228802,-0.196322,51.241918,-4.341081,-15.212410,155.720333,-7.964167,-40.616141,153.675729,-22.574293,-34.751698,15.367573,0.000000,0.000000,4095,2057,2057
1745872640.680281,-0.383251,0.058869,0.371647,-4.449855,0.228802,-0.196322,47.906671,-2.383359,-13.450684,145.533761,-4.541971,-36.336866,143.647647,-17.800183,-32.057889,14.364765,0.000000,0.000000,4090,2057,2057
1745872640.685284,-0.415701,0.059475,0.368869,-3.206258,0.117425,-0.281813,70.409768,-3.581297,-12.782995,213.594358,-6.086785,-36.400678,211.757818,-20.268135,-30.897151,21.175782,0.000000,0.000000,4095,2057,2057
1745872640.690283,-0.442045,0.059973,0.366859,-2.823771,0.134548,-0.108396,85.372738,-3.480071,-6.546601,258.336261,-6.071329,-21.317182,257.335248,-14.606994,-16.700930,25.733525,0.000000,0.000000,4095,2057,2057
1745872640.695285,-0.442045,0.059973,0.366859,-2.823771,0.134548,-0.108396,84.382096,-2.989560,-1.797089,255.023701,-5.959380,-9.730148,254.648685,-9.549004,-6.256768,25.464869,0.000000,0.000000,4095,2057,2057
1745872640.700284,-0.463678,0.059982,0.366575,-2.376961,-0.007390,-0.045179,84.361038,-5.790145,2.973252,254.654893,-11.552264,2.393786,255.093748,-9.261906,7.320841,25.509375,0.000000,0.000000,4095,2057,2057
1745872640.705308,-0.463678,0.059982,0.366575,-2.376961,-0.007390,-0.045179,73.965013,-6.857902,5.639898,223.060429,-14.153709,9.772366,223.965484,-8.288674,15.097803,22.396548,0.000000,0.000000,4095,2057,2057
1745872640.710285,-0.463678,0.059982,0.366575,-2.376961,-0.007390,-0.045179,58.401696,-6.685378,6.616454,175.974204,-14.059964,13.170612,177.059271,-6.684994,18.100714,17.705927,0.000000,0.000000,4095,2057,2057
1745872640.715286,-0.488816,0.060213,0.366641,-2.831088,-0.006318,0.034665,30.240144,-5.733896,8.388005,90.761659,-12.548950,19.375802,92.148191,-1.980827,23.041195,9.214819,0.000000,0.000000,3361,2057,2057
1745872640.720275,-0.488816,0.060213,0.366641,-2.831088,-0.006318,0.034665,8.777385,-4.432668,8.480145,25.917619,-10.108422,20.821321,27.312001,0.852678,23.171639,2.731200,0.000000,0.000000,2443,2057,2057
