stamp,phi,theta,psi,p,q,r,p_dot,q_dot,r_dot,Tix,Tiy,Tiz,Gx,Gy,Gz,cmdTroll,cmdTpitch,cmdTyaw,rawIroll,rawIpitch,rawIyaw
1746316085.823240,-3.054906,0.075600,-1.728573,0.004066,0.001921,0.005451,0.011830,0.012246,0.052587,0.031356,0.023987,0.135594,-0.034796,0.025276,0.132311,-0.034796,0.025276,0.132311,2019,2060,2076
1746316085.828269,-3.054892,0.075587,-1.728584,0.002901,-0.002031,0.003771,0.015628,0.003748,0.085306,0.033457,0.020650,0.155772,-0.030075,0.031828,0.153943,-0.030075,0.031828,0.153943,2019,2061,2079
1746316085.833322,-3.054892,0.075587,-1.728584,0.002901,-0.002031,0.003771,0.018367,-0.003267,0.110034,0.036561,0.015321,0.186459,-0.025286,0.035731,0.184269,-0.025286,0.035731,0.184269,2020,2062,2083
1746316085.838163,-3.054892,0.075587,-1.728584,0.002901,-0.002031,0.003771,0.020090,-0.008644,0.126821,0.039732,0.009318,0.219053,-0.019841,0.039806,0.216452,-0.019841,0.039806,0.216452,2021,2062,2087
1746316085.843294,-3.054874,0.075588,-1.728580,0.008695,-0.010455,0.001084,0.047891,-0.052012,0.126127,0.062764,-0.014406,0.243780,-0.008665,0.074704,0.242365,-0.008665,0.074704,0.242365,2022,2067,2091
1746316085.848137,-3.054874,0.075588,-1.728580,0.008695,-0.010455,0.001084,0.068029,-0.083931,0.122776,0.093689,-0.044926,0.258965,0.016689,0.110040,0.255636,0.016689,0.110040,0.255636,2059,2072,2093
1746316085.853121,-3.054874,0.075588,-1.728580,0.008695,-0.010455,0.001084,0.083495,-0.108966,0.117290,0.129173,-0.079571,0.266936,0.045411,0.150526,0.261438,0.045411,0.150526,0.261438,2063,2078,2094
1746316085.858142,-3.054874,0.075588,-1.728580,0.008695,-0.010455,0.001084,0.094283,-0.127018,0.110155,0.164304,-0.113915,0.268225,0.073889,0.190618,0.260576,0.073889,0.190618,0.260576,2067,2084,2094
1746316085.863156,-3.054748,0.075888,-1.728440,0.047770,-0.083053,-0.017162,0.277238,-0.466402,0.019532,0.325615,-0.286294,0.207281,0.160637,0.449576,0.206831,0.160637,0.449576,0.206831,2080,2098,2086
1746316085.868713,-3.057821,0.076110,-1.727874,-0.589908,-0.046636,-0.062125,-2.754060,-0.577982,-0.287360,-1.903925,-0.470433,0.006358,1.649552,-1.760258,0.010338,1.649552,-1.760258,0.010338,2098,1998,2058
1746316085.873270,-3.057821,0.076110,-1.727874,-0.589908,-0.046636,-0.062125,-4.666191,-0.637505,-0.480751,-4.606734,-0.612720,-0.198200,2.214531,-4.407533,-0.237179,2.214531,-4.407533,-0.237179,2098,1998,1998
1746316085.878094,-3.057821,0.076110,-1.727874,-0.589908,-0.046636,-0.062125,-6.248518,-0.677022,-0.640613,-7.910518,-0.745784,-0.430305,2.864658,-7.649828,-0.518718,2.864658,-7.649828,-0.518718,2098,1998,1998
1746316085.883141,-3.066402,0.075502,-1.726131,-1.041965,-0.079325,-0.230737,-9.519661,-0.844498,-1.529326,-12.893490,-0.895332,-1.120104,4.450492,-12.520407,-1.107175,4.450492,-12.520407,-1.107175,2098,1998,1998
1746316085.888156,-3.066402,0.075502,-1.726131,-1.041965,-0.079325,-0.230737,-11.938822,-0.960220,-2.210651,-18.395135,-1.062986,-2.017080,5.470197,-17.929873,-2.081067,5.470197,-17.929873,-2.081067,2098,1998,1998
1746316085.893265,-3.080794,0.076251,-1.722982,-2.085768,-0.015102,-0.309073,-18.464277,-0.738493,-3.083468,-27.408547,-0.989623,-3.104699,8.276898,-26.926634,-3.187806,8.276898,-26.926634,-3.187806,2098,1998,1998
1746316085.898075,-3.111625,0.075265,-1.720639,-3.663217,0.042687,-0.220516,-29.854491,-0.303120,-3.296606,-41.902344,-0.557990,-3.752095,12.321176,-41.392199,-4.044880,12.321176,-41.392199,-4.044880,2098,1998,1998
1746316085.903143,-3.111625,0.075265,-1.720639,-3.663217,0.042687,-0.220516,-39.026221,0.079145,-3.408157,-60.171410,-0.048089,-4.155551,14.550552,-59.532672,-4.615972,14.550552,-59.532672,-4.615972,2098,1998,1998
1746316085.908004,-3.111625,0.075265,-1.720639,-3.663217,0.042687,-0.220516,-45.287461,0.374411,-3.419273,-78.014444,0.450090,-4.337044,16.727772,-77.250137,-4.961179,16.727772,-77.250137,-4.961179,2098,1998,1998
1746316085.913390,3.135026,0.074645,-1.719087,-4.421143,0.188749,-0.095917,-53.563950,1.340962,-2.744807,-99.109277,1.388688,-3.673663,19.938511,-98.415483,-4.570113,19.938511,-98.415483,-4.570113,2098,1998,1998
1746316085.918155,3.087304,0.071455,-1.720201,-5.394505,0.342291,0.190048,-62.359621,2.652688,-0.977440,-119.601612,2.566765,-1.762966,23.395315,-118.993581,-3.045596,23.395315,-118.993581,-3.045596,2098,1998,1998
1746316085.923187,3.087304,0.071455,-1.720201,-5.394505,0.342291,0.190048,-68.630608,3.731347,0.574127,-140.616474,3.964028,0.846865,25.146144,-139.982316,-0.560764,25.146144,-139.982316,-0.560764,2098,1998,1998
1746316085.928101,3.039082,0.069386,-1.722273,-5.236513,0.164680,0.271691,-71.375041,3.717718,2.152226,-158.309525,4.889619,3.475972,26.955763,-157.399281,1.880012,26.955763,-157.399281,1.880012,2098,1998,2098
1746316085.933408,2.989465,0.068046,-1.724483,-5.675913,0.184142,0.211756,-74.214973,3.711410,3.204981,-174.804143,5.699604,6.350673,29.689945,-173.800445,4.699086,29.689945,-173.800445,4.699086,2098,1998,2098
1746316085.938221,2.989465,0.068046,-1.724483,-5.675913,0.184142,0.211756,-74.575492,3.621507,3.897347,-186.553483,6.215008,8.773622,30.982227,-185.490200,7.034168,30.982227,-185.490200,7.034168,2098,1998,2098
