stamp,phi,theta,psi,p,q,r,p_dot,q_dot,r_dot,Tix,Tiy,Tiz,Gx,Gy,Gz,cmdTroll,cmdTpitch,cmdTyaw,rawIroll,rawIpitch,rawIyaw
1746315580.342683,3.033008,-0.235602,1.324615,-0.004105,0.001227,-0.003221,0.000000,0.000000,0.000000,-0.000004,0.000002,0.000006,0.006160,-0.001222,0.003228,0.006160,-0.001222,0.003228,2058,2023,2057
1746315580.347687,3.033017,-0.235625,1.324588,-0.002361,-0.000442,0.000888,0.007858,-0.007515,0.018508,0.006685,-0.003443,0.012241,0.001782,-0.006881,0.010942,0.001782,-0.006881,0.010942,2057,2023,2058
1746315580.352707,3.033017,-0.235625,1.324588,-0.002361,-0.000442,0.000888,0.014083,-0.013468,0.033170,0.017095,-0.008806,0.031285,-0.000957,-0.018284,0.029346,-0.000957,-0.018284,0.029346,2023,2021,2061
1746315580.357687,3.033016,-0.235634,1.324592,0.000270,-0.001403,0.003684,0.030570,-0.022269,0.056766,0.038027,-0.016906,0.061596,-0.007735,-0.039598,0.056200,-0.007735,-0.039598,0.056200,2023,2018,2065
1746315580.362685,3.033016,-0.235634,1.324592,0.000270,-0.001403,0.003684,0.043340,-0.028952,0.074750,0.064143,-0.026177,0.096923,-0.010436,-0.067186,0.090897,-0.010436,-0.067186,0.090897,2022,2014,2070
1746315580.367691,3.033043,-0.235666,1.324622,0.004091,0.003451,-0.004819,0.069977,-0.011872,0.049394,0.101409,-0.025655,0.109226,-0.006311,-0.108054,0.114004,-0.006311,-0.108054,0.114004,2023,2008,2073
1746315580.372740,3.033043,-0.235666,1.324622,0.004091,0.003451,-0.004819,0.090207,0.002391,0.027497,0.143056,-0.018867,0.105783,0.010897,-0.146792,0.114579,0.010897,-0.146792,0.114579,2058,2003,2073
1746315580.377687,3.033066,-0.235618,1.324590,0.004565,-0.005723,0.005785,0.106359,-0.027173,0.056692,0.187296,-0.026703,0.122779,0.013465,-0.182433,0.121736,0.013465,-0.182433,0.121736,2059,1998,2074
1746315580.382692,3.033066,-0.235618,1.324590,0.004565,-0.005723,0.005785,0.117295,-0.050923,0.079480,0.230492,-0.043191,0.151171,0.007847,-0.228345,0.148816,0.007847,-0.228345,0.148816,2058,1998,2078
1746315580.387687,3.033165,-0.235353,1.324644,0.017097,-0.040732,-0.013130,0.179864,-0.226419,0.011131,0.303805,-0.130132,0.135582,-0.079305,-0.285625,0.136200,-0.079305,-0.285625,0.136200,2012,1998,2076
