stamp,phi,theta,psi,p,q,r,p_dot,q_dot,r_dot,Tix,Tiy,Tiz,Gx,Gy,Gz,cmdTroll,cmdTpitch,cmdTyaw,rawIroll,rawIpitch,rawIyaw
1745869644.623176,-0.841907,0.003378,-0.042337,-5.485312,0.187549,-0.113459,-1.548181,-0.298460,0.066777,-4.705808,-2.433733,-1.293653,-4.702587,-2.585922,0.953736,-0.470259,0.000000,0.000000,1956,2057,2057
1745869644.628179,-0.841907,0.003378,-0.042337,-5.485312,0.187549,-0.113459,-4.778149,-0.094421,1.018290,-14.481318,-2.193371,0.708261,-14.474198,-0.932575,2.107811,-1.447420,0.000000,0.000000,1817,2057,2057
1745869644.633181,-0.890992,0.003662,-0.044635,-5.400048,0.213272,-0.153457,-4.145128,0.676677,0.514815,-12.546860,-0.420687,-1.084583,-12.548159,-1.107937,-0.354649,-1.254816,0.000000,0.000000,1844,2057,2057
1745869644.638192,-0.890992,0.003662,-0.044635,-5.400048,0.213272,-0.153457,-3.234962,1.082087,0.132612,-9.791562,0.584548,-1.980940,-9.797787,-1.173098,-1.699912,-0.979779,0.000000,0.000000,1883,2057,2057
1745869644.643177,-0.890992,0.003662,-0.044635,-5.400048,0.213272,-0.153457,-2.266714,1.204512,-0.123921,-6.861150,0.919518,-2.550954,-6.869642,-1.405820,-2.318754,-0.686964,0.000000,0.000000,1925,2057,2057
1745869644.648173,-0.890992,0.003662,-0.044635,-5.400048,0.213272,-0.153457,-1.375674,1.135191,-0.271578,-4.164831,0.795050,-2.849526,-4.173656,-1.716264,-2.409651,-0.417366,0.000000,0.000000,1964,2057,2057
1745869644.653180,-0.940894,0.003907,-0.047035,-5.564820,0.234197,-0.124254,-4.684646,1.465482,0.384565,-14.194753,1.370115,-1.574662,-14.202704,-0.465374,-2.034764,-1.420270,0.000000,0.000000,1820,2057,2057
1745869644.658193,-0.940894,0.003907,-0.047035,-5.564820,0.234197,-0.124254,-6.202709,1.494283,0.752535,-18.789108,1.356862,-0.815415,-18.795270,0.140356,-1.576805,-1.879527,0.000000,0.000000,1755,2057,2057
1745869644.663181,-1.086112,0.003868,-0.053733,-5.287087,0.220392,-0.161864,0.391048,0.991869,-0.027555,1.228344,1.271532,-2.693366,1.219139,-1.790706,-2.380015,0.121914,0.000000,0.000000,2074,2057,2057
1745869644.668180,-1.132593,0.003480,-0.055765,-5.108560,0.175771,-0.142628,8.899644,-0.541044,-0.047939,26.969103,-1.981253,-2.040682,26.972333,-2.688542,0.928171,2.697233,0.000000,0.000000,2439,2057,2057
1745869644.673182,-1.132593,0.003480,-0.055765,-5.108560,0.175771,-0.142628,13.194585,-1.444975,-0.054967,39.962629,-4.188310,-1.914909,39.973000,-3.511136,2.980074,3.997300,0.000000,0.000000,2623,2057,2057
1745869644.678181,-1.180329,0.003002,-0.058043,-5.438967,0.242179,-0.139780,6.199866,-0.212705,0.017078,18.799480,-1.485596,-2.582078,18.800653,-2.953177,0.390986,1.880065,0.000000,0.000000,2323,2057,2057
1745869644.683194,-1.180329,0.003002,-0.058043,-5.438967,0.242179,-0.139780,1.000439,0.595276,0.060692,3.069397,0.504345,-2.609183,3.065015,-2.220829,-1.459500,0.306502,0.000000,0.000000,2100,2057,2057
1745869644.688182,-1.229139,0.002180,-0.060220,-5.279108,0.175705,-0.188253,1.516667,-0.594353,-1.103955,4.680768,-1.438638,-4.296891,4.680584,-4.530548,-0.084185,0.468058,0.000000,0.000000,2123,2057,2057
1745869644.693182,-1.229139,0.002180,-0.060220,-5.279108,0.175705,-0.188253,1.659008,-1.276870,-1.708336,5.113078,-3.056598,-5.330452,5.115463,-6.046466,1.093967,0.511546,0.000000,0.000000,2129,2057,2057
1745869644.698180,-1.279205,0.001974,-0.062878,-5.672119,0.272533,-0.098255,-8.077967,0.819146,0.322659,-24.414917,1.144227,-2.336931,-24.418407,-1.909345,-1.767742,-2.441841,0.000000,0.000000,1674,2057,2057
1745869644.703208,-1.279205,0.001974,-0.062878,-5.672119,0.272533,-0.098255,-13.281600,2.052555,1.575812,-40.160807,4.097624,-0.163029,-40.168648,1.021823,-3.971528,-4.016865,0.000000,0.000000,1449,2057,2057
1745869644.708186,-1.327594,0.001462,-0.064796,-5.271583,0.187755,-0.117010,-5.133696,0.503464,1.707959,-15.485727,0.968655,1.047428,-15.486733,1.249867,-0.687917,-1.548673,0.000000,0.000000,1802,2057,2057
1745869644.713181,-1.377529,0.001322,-0.067278,-5.520830,0.212624,-0.066709,-5.428475,0.066006,2.814902,-16.406134,-0.404454,2.934235,-16.404865,2.801923,0.960492,-1.640486,0.000000,0.000000,1789,2057,2057
1745869644.718185,-1.377529,0.001322,-0.067278,-5.520830,0.212624,-0.066709,-4.950528,-0.219437,3.171981,-14.960740,-1.165538,3.604773,-14.958313,3.313799,1.836194,-1.495831,0.000000,0.000000,1810,2057,2057
1745869644.723181,-1.425530,0.000617,-0.069398,-5.304299,0.219886,-0.131101,1.258004,-0.194970,1.432550,3.878291,-0.344228,0.293673,3.878527,0.240751,0.383113,0.387853,0.000000,0.000000,2112,2057,2057
1745869644.728193,-1.425530,0.000617,-0.069398,-5.304299,0.219886,-0.131101,5.044720,-0.155518,0.152636,15.335330,-0.159401,-2.013650,15.335247,-2.015516,-0.133765,1.533525,0.000000,0.000000,2274,2057,2057
1745869644.733182,-1.474131,-0.000207,-0.071423,-5.310480,0.210301,-0.130335,6.657497,-0.345960,-0.652447,20.215525,-0.390832,-3.295227,20.215510,-3.317565,0.070969,2.021551,0.000000,0.000000,2343,2057,2057
1745869644.738198,-1.474131,-0.000207,-0.071423,-5.310480,0.210301,-0.130335,6.867486,-0.424729,-1.084768,20.850703,-0.574982,-4.065157,20.850666,-4.101673,0.179949,2.085067,0.000000,0.000000,2352,2057,2057
1745869644.743153,-1.474131,-0.000207,-0.071423,-5.310480,0.210301,-0.130335,6.162245,-0.422169,-1.222495,18.717077,-0.562146,-4.311882,18.717047,-4.346008,0.143361,1.871705,0.000000,0.000000,2322,2057,2057
1745869644.748187,-1.522306,-0.001207,-0.073662,-5.451455,0.252410,-0.110249,1.477036,0.669741,-0.666453,4.542248,2.261342,-3.710122,4.545191,-3.596150,-2.438522,0.454519,0.000000,0.000000,2121,2057,2057
1745869644.753185,-1.522306,-0.001207,-0.073662,-5.451455,0.252410,-0.110249,-1.639633,1.271093,-0.236016,-4.886145,3.807229,-2.960905,-4.881383,-2.772881,-3.946277,-0.488138,0.000000,0.000000,1954,2057,2057
1745869644.758185,-1.570015,-0.002428,-0.075341,-5.247255,0.202911,-0.157307,1.591693,0.283254,-1.087647,4.904829,1.752131,-3.816939,4.909091,-3.815569,-1.755117,0.490909,0.000000,0.000000,2126,2057,2057
1745869644.763188,-1.570015,-0.002428,-0.075341,-5.247255,0.202911,-0.157307,3.441592,-0.376636,-1.493299,10.500228,0.044613,-4.533226,10.500345,-4.533190,-0.048154,1.050034,0.000000,0.000000,2205,2057,2057
1745869644.768185,-1.666214,-0.004177,-0.079178,-5.282653,0.235117,-0.108773,3.321665,0.041304,-0.378171,10.127221,1.178147,-2.657965,10.131062,-2.758120,-0.919563,1.013106,0.000000,0.000000,2200,2057,2057
1745869644.773187,-1.666214,-0.004177,-0.079178,-5.282653,0.235117,-0.108773,2.838879,0.300913,0.374323,8.670634,1.879860,-1.303161,8.677933,-1.476334,-1.747168,0.867793,0.000000,0.000000,2180,2057,2057
1745869644.778208,-1.666214,-0.004177,-0.079178,-5.282653,0.235117,-0.108773,2.182998,0.428687,0.805961,6.688684,2.227861,-0.528950,6.697738,-0.738800,-2.167351,0.669774,0.000000,0.000000,2152,2057,2057
1745869644.783185,-1.716174,-0.005068,-0.081164,-5.541864,0.230019,-0.075987,-4.816292,0.331843,1.776970,-14.498350,2.069867,1.186283,-14.487099,0.873917,-2.219913,-1.448710,0.000000,0.000000,1816,2057,2057
1745869644.788183,-1.763409,-0.006320,-0.082722,-5.280005,0.213561,-0.097345,-2.269769,-0.173312,1.655172,-6.785007,0.977256,1.373068,-6.777283,1.160606,-1.222046,-0.677728,0.000000,0.000000,1927,2057,2057
1745869644.793187,-1.812001,-0.007398,-0.084594,-5.290830,0.199946,-0.065770,-0.644350,-0.805811,2.149367,-1.880075,-0.641090,2.372895,-1.880487,2.457341,0.055713,-0.188049,0.000000,0.000000,1997,2057,2057
1745869644.798186,-1.812001,-0.007398,-0.084594,-5.290830,0.199946,-0.065770,0.461380,-1.106585,2.198102,1.465462,-1.400241,2.440933,1.459717,2.704750,0.776654,0.145972,0.000000,0.000000,2077,2057,2057
1745869644.803189,-1.812001,-0.007398,-0.084594,-5.290830,0.199946,-0.065770,1.104734,-1.161381,1.959630,3.409532,-1.564331,2.005265,3.401838,2.320890,1.040070,0.340184,0.000000,0.000000,2105,2057,2057
1745869644.808185,-1.858328,-0.008726,-0.085997,-5.261443,0.245849,-0.091070,2.095329,0.070088,0.949584,6.433636,1.928579,0.172979,6.450203,-0.381041,-1.898532,0.645020,0.000000,0.000000,2148,2057,2057
1745869644.813189,-1.904539,-0.009912,-0.087399,-4.982765,0.146934,-0.085457,9.299525,-1.583626,0.330871,28.172133,-2.783084,-0.172923,28.145507,0.748304,2.686301,2.814551,0.000000,0.000000,2455,2057,2057
1745869644.818188,-1.950619,-0.011312,-0.088838,-5.191226,0.237226,-0.063533,7.603908,-0.222402,0.436540,23.079758,1.181331,-0.474396,23.090180,-0.878572,-0.921312,2.309018,0.000000,0.000000,2384,2057,2057
1745869644.823187,-1.950619,-0.011312,-0.088838,-5.191226,0.237226,-0.063533,5.600276,0.665879,0.449929,17.019088,3.382127,-0.339246,17.053199,-1.569011,-3.015500,1.705320,0.000000,0.000000,2298,2057,2057
1745869644.828187,-1.950619,-0.011312,-0.088838,-5.191226,0.237226,-0.063533,3.646572,1.146372,0.403293,11.108396,4.563755,-0.380462,11.154749,-2.045385,-4.097701,1.115475,0.000000,0.000000,2215,2057,2057
1745869644.833189,-1.996586,-0.012768,-0.089899,-5.040397,0.150063,-0.107197,5.660277,-0.826381,-0.745773,17.147794,-0.843594,-1.851440,17.128220,-1.337692,1.533116,1.712822,0.000000,0.000000,2299,2057,2057
1745869644.838196,-1.996586,-0.012768,-0.089899,-5.040397,0.150063,-0.107197,6.240460,-1.973806,-1.381664,18.892020,-3.762128,-3.258257,18.831088,-1.413427,4.772398,1.883109,0.000000,0.000000,2323,2057,2057
1745869644.843192,-2.043449,-0.014308,-0.091259,-5.341617,0.242775,-0.080240,-1.532812,-0.185984,-0.953521,-4.572765,1.338253,-2.947461,-4.574915,-3.233552,0.150313,-0.457492,0.000000,0.000000,1958,2057,2057
1745869644.848184,-2.043449,-0.014308,-0.091259,-5.341617,0.242775,-0.080240,-6.259754,0.967014,-0.566305,-18.864256,4.195492,-2.064918,-18.824257,-3.748524,-2.795749,-1.882426,0.000000,0.000000,1754,2057,2057
1745869644.853191,-2.043449,-0.014308,-0.091259,-5.341617,0.242775,-0.080240,-8.493028,1.580325,-0.251204,-25.613962,5.735582,-1.377716,-25.549866,-3.837789,-4.480010,-2.554987,0.000000,0.000000,1658,2057,2057
