stamp,phi,theta,psi,p,q,r,p_dot,q_dot,r_dot,Tix,Tiy,Tiz,Gx,Gy,Gz,cmdTroll,cmdTpitch,cmdTyaw,rawIroll,rawIpitch,rawIyaw
1745872624.885082,0.034754,0.036369,0.365498,-0.000418,0.003242,-0.006971,0.000000,0.000000,0.000000,-0.000071,-0.000011,0.000003,-0.000071,-0.000011,0.000003,-0.000007,0.000000,0.000000,2024,2057,2057
1745872624.890007,0.034776,0.036373,0.365534,-0.000841,-0.002668,0.006842,-0.010214,-0.142619,0.333364,-0.044252,-0.248758,0.860840,-0.013261,-0.278538,0.852234,-0.001326,0.000000,0.000000,2023,2057,2057
1745872624.895079,0.034776,0.036373,0.365534,-0.000841,-0.002668,0.006842,-0.015655,-0.218591,0.510944,-0.067793,-0.381272,1.319404,-0.020293,-0.426916,1.306214,-0.002029,0.000000,0.000000,2023,2057,2057
1745872624.900067,0.034773,0.036397,0.365535,0.002246,0.000430,0.001129,0.058395,-0.162786,0.417841,0.159887,-0.283341,1.076401,0.198700,-0.320592,1.066606,0.019870,0.000000,0.000000,2060,2057,2057
1745872624.905052,0.034782,0.036428,0.365541,0.004663,0.000673,-0.003911,0.157141,-0.101711,0.184919,0.467775,-0.178283,0.470615,0.484690,-0.194541,0.464439,0.048469,0.000000,0.000000,2064,2057,2057
1745872624.910059,0.034782,0.036428,0.365541,0.004663,0.000673,-0.003911,0.200733,-0.050421,0.014142,0.606423,-0.089669,0.027721,0.607319,-0.090579,0.024602,0.060732,0.000000,0.000000,2065,2057,2057
1745872624.915055,0.034782,0.036428,0.365541,0.004663,0.000673,-0.003911,0.203620,-0.011894,-0.095296,0.619531,-0.022789,-0.254997,0.610215,-0.013908,-0.255805,0.061021,0.000000,0.000000,2065,2057,2057
1745872624.920105,0.034737,0.036411,0.365504,-0.013668,0.005054,-0.010330,-0.273239,0.122611,-0.312316,-0.813921,0.213246,-0.795248,-0.842603,0.240736,-0.787885,-0.084260,0.000000,0.000000,2012,2057,2057
1745872624.925057,0.034737,0.036411,0.365504,-0.013668,0.005054,-0.010330,-0.534446,0.190709,-0.408162,-1.599954,0.333124,-1.031728,-1.637092,0.368755,-1.020213,-0.163709,0.000000,0.000000,2000,2057,2057
1745872624.930062,0.034737,0.036411,0.365504,-0.013668,0.005054,-0.010330,-0.637128,0.211238,-0.420087,-1.909975,0.369549,-1.058140,-1.948029,0.406075,-1.045360,-0.194803,0.000000,0.000000,1996,2057,2057
1745872624.935055,0.024589,0.033807,0.364497,-1.467463,-0.497702,-0.114551,-36.198557,-12.104216,-2.926491,-109.167849,-21.956424,-7.264722,-109.431721,-21.771174,-7.806813,-10.943172,0.000000,0.000000,458,2057,2057
1745872624.940061,0.024589,0.033807,0.364497,-1.467463,-0.497702,-0.114551,-54.319398,-18.432632,-4.157714,-163.919975,-33.248562,-9.853140,-164.280749,-32.996259,-10.673719,-16.428075,0.000000,0.000000,0,2057,2057
1745872624.945055,0.010350,0.033387,0.362352,-1.917961,0.035453,-0.289163,-70.122637,-7.119259,-8.698458,-211.771590,-13.714815,-19.877787,-212.440200,-13.508356,-20.029826,-21.244020,0.000000,0.000000,0,2057,2057
1745872624.950150,-0.015836,0.033439,0.360170,-3.212951,0.028617,-0.218362,-103.911005,0.900808,-8.777302,-313.930579,0.404196,-18.827146,-314.560512,0.106014,-18.841719,-31.456051,0.000000,0.000000,0,2057,2057
1745872624.955105,-0.015836,0.033439,0.360170,-3.212951,0.028617,-0.218362,-111.686916,5.685811,-7.739785,-337.483322,8.924373,-15.886160,-338.019400,8.671694,-16.034451,-33.801940,0.000000,0.000000,0,2057,2057
1745872624.960057,-0.015836,0.033439,0.360170,-3.212951,0.028617,-0.218362,-103.193763,8.038307,-6.151021,-311.857380,13.107653,-12.100957,-312.269068,12.914388,-12.313886,-31.226907,0.000000,0.000000,0,2057,2057
1745872624.965056,-0.052814,0.034394,0.358704,-4.375933,0.171507,-0.140773,-113.720735,12.071058,-2.486056,-343.869475,20.352610,-1.589376,-343.961054,20.240329,-2.663136,-34.396105,0.000000,0.000000,0,2057,2057
